time,rssi,RSRP,lte_sinr,RSRQ,network_connect,ARFCN,LAC,Cell_ID,RXLEV,neighbor_info/0/TECH,neighbor_info/0/BAND,neighbor_info/0/LAC,neighbor_info/0/Cell_ID,neighbor_info/0/BSIC,neighbor_info/0/ARFCN,neighbor_info/0/RXLEV,wifi/started,wifi/finished,wifi/successful,bluetooth/time,bluetooth/successful,bluetooth/devices/0/address,bluetooth/devices/0/address_type,bluetooth/devices/0/name,bluetooth/devices/0/signal_strength,bluetooth/devices/1/address,bluetooth/devices/1/address_type,bluetooth/devices/1/name,bluetooth/devices/1/signal_strength,bluetooth/devices/2/address,bluetooth/devices/2/address_type,bluetooth/devices/2/name,bluetooth/devices/2/signal_strength,bluetooth/devices/3/address,bluetooth/devices/3/address_type,bluetooth/devices/3/name,bluetooth/devices/3/signal_strength,bluetooth/devices/4/address,bluetooth/devices/4/address_type,bluetooth/devices/4/name,bluetooth/devices/4/signal_strength,bluetooth/devices/5/address,bluetooth/devices/5/address_type,bluetooth/devices/5/name,bluetooth/devices/5/signal_strength,bluetooth/devices/6/address,bluetooth/devices/6/address_type,bluetooth/devices/6/name,bluetooth/devices/6/signal_strength,bluetooth/devices/7/address,bluetooth/devices/7/address_type,bluetooth/devices/7/name,bluetooth/devices/7/signal_strength,bluetooth/devices/8/address,bluetooth/devices/8/address_type,bluetooth/devices/8/name,bluetooth/devices/8/signal_strength,bluetooth/devices/9/address,bluetooth/devices/9/address_type,bluetooth/devices/9/name,bluetooth/devices/9/signal_strength,bluetooth/devices/10/address,bluetooth/devices/10/address_type,bluetooth/devices/10/name,bluetooth/devices/10/signal_strength,bluetooth/devices/11/address,bluetooth/devices/11/address_type,bluetooth/devices/11/name,bluetooth/devices/11/signal_strength,bluetooth/devices/12/address,bluetooth/devices/12/address_type,bluetooth/devices/12/name,bluetooth/devices/12/signal_strength,bluetooth/devices/13/address,bluetooth/devices/13/address_type,bluetooth/devices/13/name,bluetooth/devices/13/signal_strength,neighbor_info/0/PCI,neighbor_info/0/RSRP,neighbor_info/0/RSRQ,neighbor_info/1/TECH,neighbor_info/1/PCI,neighbor_info/1/RSRP,neighbor_info/1/RSRQ,neighbor_info/1/ARFCN,neighbor_info/1/RXLEV,neighbor_info/2/TECH,neighbor_info/2/PCI,neighbor_info/2/RSRP,neighbor_info/2/RSRQ,neighbor_info/2/ARFCN,neighbor_info/2/RXLEV,wifi/access_points/0/bssid,wifi/access_points/0/ssid,wifi/access_points/0/frequency,wifi/access_points/0/channel,wifi/access_points/0/signal_strength,wifi/access_points/0/age,wifi/access_points/1/bssid,wifi/access_points/1/ssid,wifi/access_points/1/frequency,wifi/access_points/1/channel,wifi/access_points/1/signal_strength,wifi/access_points/1/age
2019-08-06 08:18:25.804,-87,-117,30,-11,true,1444,13601,26998535,0,GSM,0,0,0,0,0,0,2019-08-06 08:18:24.772,2019-08-06 08:18:25.330,true,2019-08-06 08:18:25.815,true,00:12:6F:3E:59:4x,public,,0,00:22:A0:5A:95:7x,public,,0,40:12:05:91:A3:1x,random,,0,43:67:58:C3:3B:Ax,random,,0,44:AE:0D:C0:03:5x,random,,0,46:41:86:6C:AE:Cx,random,,0,47:AE:65:95:7D:Ex,random,,0,48:57:8B:04:92:Dx,random,,0,4B:B7:2F:6C:72:5x,random,,0,4D:E8:75:6C:CA:9x,random,,0,4F:EB:B8:45:F6:3x,random,,0,62:C8:67:4F:96:1x,random,,0,66:34:33:DB:C2:Ex,random,,0,B8:0E:9E:70:70:0x,public,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-06 08:18:26.376,-87,-117,30,-11,true,1444,13601,26998535,0,GSM,0,0,0,0,0,0,2019-08-06 08:18:25.330,2019-08-06 08:18:25.931,true,2019-08-06 08:18:26.385,true,00:12:6F:3E:59:4x,public,,0,00:22:A0:5A:95:7x,public,,0,40:12:05:91:A3:1x,random,,0,43:67:58:C3:3B:Ax,random,,0,44:AE:0D:C0:03:5x,random,,0,46:41:86:6C:AE:Cx,random,,0,47:AE:65:95:7D:Ex,random,,0,48:57:8B:04:92:Dx,random,,0,4B:B7:2F:6C:72:5x,random,,0,4D:E8:75:6C:CA:9x,random,,0,4F:EB:B8:45:F6:3x,random,,0,62:C8:67:4F:96:1x,random,,0,66:34:33:DB:C2:Ex,random,,0,B8:0E:9E:70:70:0x,public,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-06 08:18:26.942,-91,-122,30,-13,true,1444,13601,26998535,-92,GSM,0,0,0,0,0,0,2019-08-06 08:18:25.931,2019-08-06 08:18:26.494,true,2019-08-06 08:18:26.952,true,00:12:6F:3E:59:4x,public,,0,00:22:A0:5A:95:7x,public,,0,40:12:05:91:A3:1x,random,,0,43:67:58:C3:3B:Ax,random,,0,44:AE:0D:C0:03:5x,random,,0,46:41:86:6C:AE:Cx,random,,0,47:AE:65:95:7D:Ex,random,,0,48:57:8B:04:92:Dx,random,,0,4B:B7:2F:6C:72:5x,random,,0,4D:E8:75:6C:CA:9x,random,,0,4F:EB:B8:45:F6:3x,random,,0,62:C8:67:4F:96:1x,random,,0,66:34:33:DB:C2:Ex,random,,0,B8:0E:9E:70:70:0x,public,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-06 08:18:27.516,-91,-121,-6,-14,true,1444,13601,26998535,-92,LTE,,,,,1444,-84,2019-08-06 08:18:26.494,2019-08-06 08:18:27.062,true,2019-08-06 08:18:27.526,true,00:12:6F:3E:59:4x,public,,0,00:22:A0:5A:95:7x,public,,0,40:12:05:91:A3:1x,random,,0,43:67:58:C3:3B:Ax,random,,0,44:AE:0D:C0:03:5x,random,,0,46:41:86:6C:AE:Cx,random,,0,47:AE:65:95:7D:Ex,random,,0,48:57:8B:04:92:Dx,random,,0,4B:B7:2F:6C:72:5x,random,,0,4D:E8:75:6C:CA:9x,random,,0,4F:EB:B8:45:F6:3x,random,,0,62:C8:67:4F:96:1x,random,,0,66:34:33:DB:C2:Ex,random,,0,B8:0E:9E:70:70:0x,public,,0,189,-122,-20,LTE,477,-125,-16,1300,-90,,,,,,,,,,,,,,,,,,
2019-08-06 08:18:28.094,-91,-121,-6,-14,true,1444,13601,26998535,-91,LTE,,,,,1444,-84,2019-08-06 08:18:27.062,2019-08-06 08:18:27.630,true,2019-08-06 08:18:28.104,true,00:12:6F:3E:59:4x,public,,0,00:22:A0:5A:95:7x,public,,0,40:12:05:91:A3:1x,random,,0,43:67:58:C3:3B:Ax,random,,0,44:AE:0D:C0:03:5x,random,,0,46:41:86:6C:AE:Cx,random,,0,47:AE:65:95:7D:Ex,random,,0,48:57:8B:04:92:Dx,random,,0,4B:B7:2F:6C:72:5x,random,,0,4D:E8:75:6C:CA:9x,random,,0,4F:EB:B8:45:F6:3x,random,,0,62:C8:67:4F:96:1x,random,,0,66:34:33:DB:C2:Ex,random,,0,B8:0E:9E:70:70:0x,public,,0,189,-122,-20,LTE,477,-125,-16,1300,-90,,,,,,,,,,,,,,,,,,
2019-08-06 08:18:28.661,-91,-121,-6,-14,true,1444,13601,26998535,-89,LTE,,,,,1300,-90,2019-08-06 08:18:27.630,2019-08-06 08:18:28.198,true,2019-08-06 08:18:28.673,true,00:12:6F:3E:59:4x,public,,0,00:22:A0:5A:95:7x,public,,0,40:12:05:91:A3:1x,random,,0,43:67:58:C3:3B:Ax,random,,0,44:AE:0D:C0:03:5x,random,,0,46:41:86:6C:AE:Cx,random,,0,47:AE:65:95:7D:Ex,random,,0,48:57:8B:04:92:Dx,random,,0,4B:B7:2F:6C:72:5x,random,,0,4D:E8:75:6C:CA:9x,random,,0,4F:EB:B8:45:F6:3x,random,,0,62:C8:67:4F:96:1x,random,,0,66:34:33:DB:C2:Ex,random,,0,B8:0E:9E:70:70:0x,public,,0,477,-125,-16,LTE,189,-127,-18,1444,-91,,,,,,,,,,,,,,,,,,
2019-08-06 08:18:29.234,-91,-121,-6,-14,true,1444,13601,26998535,-91,LTE,,,,,1300,-90,2019-08-06 08:18:28.198,2019-08-06 08:18:28.772,true,2019-08-06 08:18:29.246,true,00:12:6F:3E:59:4x,public,,0,00:22:A0:5A:95:7x,public,,0,40:12:05:91:A3:1x,random,,0,43:67:58:C3:3B:Ax,random,,0,44:AE:0D:C0:03:5x,random,,0,46:41:86:6C:AE:Cx,random,,0,47:AE:65:95:7D:Ex,random,,0,48:57:8B:04:92:Dx,random,,0,4B:B7:2F:6C:72:5x,random,,0,4D:E8:75:6C:CA:9x,random,,0,4F:EB:B8:45:F6:3x,random,,0,62:C8:67:4F:96:1x,random,,0,66:34:33:DB:C2:Ex,random,,0,B8:0E:9E:70:70:0x,public,,0,477,-125,-16,LTE,189,-127,-18,1444,-91,,,,,,,,,,,,,,,,,,
2019-08-06 08:18:29.802,-91,-121,-6,-14,true,1444,13601,26998535,-90,LTE,,,,,1444,-90,2019-08-06 08:18:28.772,2019-08-06 08:18:29.341,true,2019-08-06 08:18:29.821,true,00:12:6F:3E:59:4x,public,,0,00:22:A0:5A:95:7x,public,,0,40:12:05:91:A3:1x,random,,0,43:67:58:C3:3B:Ax,random,,0,44:AE:0D:C0:03:5x,random,,0,46:41:86:6C:AE:Cx,random,,0,47:AE:65:95:7D:Ex,random,,0,48:57:8B:04:92:Dx,random,,0,4B:B7:2F:6C:72:5x,random,,0,4D:E8:75:6C:CA:9x,random,,0,4F:EB:B8:45:F6:3x,random,,0,62:C8:67:4F:96:1x,random,,0,66:34:33:DB:C2:Ex,random,,0,B8:0E:9E:70:70:0x,public,,0,189,-125,-18,LTE,477,-125,-16,1300,-90,,,,,,,,,,,,,,,,,,
2019-08-06 08:18:30.378,-91,-121,-6,-14,true,1444,13601,26998535,-90,LTE,,,,,1444,-90,2019-08-06 08:18:29.341,2019-08-06 08:18:29.908,true,2019-08-06 08:18:30.390,true,00:12:6F:3E:59:4x,public,,0,00:22:A0:5A:95:7x,public,,0,40:12:05:91:A3:1x,random,,0,43:67:58:C3:3B:Ax,random,,0,44:AE:0D:C0:03:5x,random,,0,46:41:86:6C:AE:Cx,random,,0,47:AE:65:95:7D:Ex,random,,0,48:57:8B:04:92:Dx,random,,0,4B:B7:2F:6C:72:5x,random,,0,4D:E8:75:6C:CA:9x,random,,0,4F:EB:B8:45:F6:3x,random,,0,62:C8:67:4F:96:1x,random,,0,66:34:33:DB:C2:Ex,random,,0,B8:0E:9E:70:70:0x,public,,0,189,-125,-18,LTE,477,-125,-16,1300,-90,,,,,,,,,,,,,,,,,,
2019-08-06 08:18:30.947,-91,-121,-6,-14,true,1444,13601,26998535,-90,LTE,,,,,1444,-90,2019-08-06 08:18:29.908,2019-08-06 08:18:30.451,true,2019-08-06 08:18:30.961,true,00:12:6F:3E:59:4x,public,,0,00:22:A0:5A:95:7x,public,,0,40:12:05:91:A3:1x,random,,0,43:67:58:C3:3B:Ax,random,,0,44:AE:0D:C0:03:5x,random,,0,46:41:86:6C:AE:Cx,random,,0,47:AE:65:95:7D:Ex,random,,0,48:57:8B:04:92:Dx,random,,0,4B:B7:2F:6C:72:5x,random,,0,4D:E8:75:6C:CA:9x,random,,0,4F:EB:B8:45:F6:3x,random,,0,62:C8:67:4F:96:1x,random,,0,66:34:33:DB:C2:Ex,random,,0,B8:0E:9E:70:70:0x,public,,0,189,-125,-18,LTE,477,-125,-16,1300,-90,,,,,,,,,,,,,,,,,,
